CENTROID_ID,cust_code,total_visit,total_spend
2,CUST0000820862,4,25.09
5,CUST0000432916,1,1.84
7,CUST0000934360,13,817.29000000000144
2,CUST0000005057,3,102.49000000000004
5,CUST0000538600,1,2.38
2,CUST0000864227,4,22.94
5,CUST0000306622,1,0.29
6,CUST0000228468,10,58.579999999999984
6,CUST0000904525,10,113.1
6,CUST0000868444,11,76.78000000000003
6,CUST0000242856,10,63.800000000000004
2,CUST0000926188,4,5.76
7,CUST0000578349,12,482.92999999999972
7,CUST0000132570,9,1089.1899999999991
4,CUST0000140765,3,1.92
6,CUST0000329291,10,216.12999999999991
7,CUST0000916315,13,1976.8599999999972
4,CUST0000725910,2,18.930000000000003
5,CUST0000541011,1,11.600000000000001
6,CUST0000154415,9,347.92
6,CUST0000397549,7,208.11999999999998
6,CUST0000665351,9,129.0
5,CUST0000871223,1,0.21
4,CUST0000871418,2,3.04
4,CUST0000775371,2,3.62
4,CUST0000202336,2,2.04
5,CUST0000073319,1,1.32
5,CUST0000633704,1,3.83
4,CUST0000223200,2,2.35
7,CUST0000372188,13,1283.6000000000004
2,CUST0000571866,4,19.37
4,CUST0000006193,2,16.31
5,CUST0000191439,1,9.4400000000000013
2,CUST0000756447,4,22.289999999999996
6,CUST0000562015,9,77.4
7,CUST0000268787,12,676.27999999999975
2,CUST0000464388,6,224.68999999999988
6,CUST0000783333,7,257.03000000000014
4,CUST0000373951,2,76.820000000000007
7,CUST0000905563,12,658.389999999999
5,CUST0000936217,1,1.54
5,CUST0000617767,1,8.04
6,CUST0000129057,8,52.959999999999994
6,CUST0000268823,11,405.05000000000013
2,CUST0000205406,4,29.990000000000002
5,CUST0000956303,1,1.04
5,CUST0000713014,1,10.26
6,CUST0000552058,10,333.61000000000013
6,CUST0000197423,11,292.88000000000011
6,CUST0000268918,10,401.81999999999971
6,CUST0000048792,10,136.75
5,CUST0000043221,1,15.140000000000002
2,CUST0000585123,5,37.129999999999981
2,CUST0000144476,5,68.84
2,CUST0000082008,5,111.15000000000002
4,CUST0000411532,2,1.23
6,CUST0000719547,7,133.72000000000011
5,CUST0000543316,1,5.77
4,CUST0000105586,2,2.61
7,CUST0000390986,10,900.6700000000003
7,CUST0000544241,13,701.43999999999812
2,CUST0000379283,4,648.579999999999
7,CUST0000336781,13,1460.6600000000005
5,CUST0000721184,1,1.85
6,CUST0000065412,9,275.26
6,CUST0000572693,8,61.290000000000013
4,CUST0000863281,2,1.26
5,CUST0000329593,1,3.23
5,CUST0000830304,1,0.60000000000000009
6,CUST0000831549,7,103.52999999999999
7,CUST0000851524,13,744.47000000000037
2,CUST0000324730,5,61.400000000000006
2,CUST0000435846,3,26.79
6,CUST0000986882,9,578.22000000000025
5,CUST0000666724,1,2.45
2,CUST0000782711,4,29.93
4,CUST0000036436,3,4.71
2,CUST0000378838,4,6.3000000000000007
4,CUST0000558362,2,46.26
7,CUST0000564860,12,458.62
4,CUST0000856485,2,6.24
5,CUST0000248629,1,9.4
6,CUST0000863414,9,268.09999999999985
2,CUST0000196337,3,76.81
2,CUST0000556927,5,210.04
4,CUST0000218774,2,1.72
5,CUST0000994400,1,3.92
5,CUST0000251475,1,2.24
4,CUST0000981735,2,2.06
7,CUST0000129617,13,1201.5000000000016
5,CUST0000812122,1,22.269999999999996
6,CUST0000953749,12,331.59000000000015
7,CUST0000086836,13,2047.2600000000016
2,CUST0000184875,4,57.52
2,CUST0000468818,3,32.39
5,CUST0000147345,1,18.13
2,CUST0000190838,4,320.20000000000016
6,CUST0000309908,10,197.53999999999994
6,CUST0000652745,8,124.08000000000003
4,CUST0000866456,2,0.58000000000000007
7,CUST0000622502,11,1757.8399999999976
6,CUST0000896966,8,766.73999999999887
4,CUST0000991163,2,1.08
4,CUST0000909808,2,48.010000000000005
7,CUST0000347023,13,646.50999999999942
5,CUST0000129689,1,10.94
3,CUST0000558734,1,67.960000000000008
5,CUST0000715339,1,0.39
4,CUST0000026371,2,137.76000000000005
5,CUST0000629744,1,27.13
2,CUST0000133531,4,659.65999999999929
5,CUST0000793719,1,27.840000000000003
2,CUST0000779619,3,78.719999999999985
2,CUST0000602288,5,237.53999999999974
5,CUST0000733530,1,6.16
4,CUST0000296815,2,5.53
5,CUST0000972293,1,4.7
7,CUST0000161319,13,527.47
4,CUST0000922989,2,9.54
4,CUST0000081263,2,0.02
5,CUST0000325300,1,11.16
2,CUST0000629598,3,77.259999999999948
4,CUST0000507011,2,7.02
7,CUST0000283533,13,1561.4300000000064
2,CUST0000833210,3,14.6
6,CUST0000049894,8,100.75
6,CUST0000301430,7,523.86999999999989
1,CUST0000361812,13,4260.2100000000073
5,CUST0000244143,1,0.86
2,CUST0000679287,4,55.680000000000007
2,CUST0000196391,4,61.140000000000008
4,CUST0000256036,3,4.17
1,CUST0000705199,13,4585.6000000000167
5,CUST0000753453,1,4.42
7,CUST0000115566,13,1913.8299999999965
6,CUST0000658460,9,401.35999999999984
7,CUST0000568678,13,1688.5200000000007
7,CUST0000149880,12,410.60000000000031
5,CUST0000625031,1,3.83
7,CUST0000292858,12,454.12999999999977
3,CUST0000105568,1,93.890000000000015
2,CUST0000572969,4,7.0400000000000009
5,CUST0000672303,1,14.06
4,CUST0000176814,2,13.4
4,CUST0000894284,2,37.76
5,CUST0000813480,1,11.649999999999999
6,CUST0000210836,8,270.19999999999993
6,CUST0000885756,11,68.789999999999964
6,CUST0000513743,6,461.38999999999993
5,CUST0000956874,1,4.16
5,CUST0000538283,1,2.81
4,CUST0000428853,2,3.7199999999999998
2,CUST0000733633,3,108.82
5,CUST0000587295,1,13.94
2,CUST0000238745,4,91.32000000000005
6,CUST0000670886,7,38.919999999999995
7,CUST0000832547,13,1042.7899999999988
7,CUST0000200775,13,1668.7699999999995
5,CUST0000702084,1,1.8
2,CUST0000814617,3,90.449999999999989
5,CUST0000078858,1,9.56
5,CUST0000217997,1,3.33
5,CUST0000891682,1,0.28
2,CUST0000845370,3,124.73
4,CUST0000167299,2,2.44
5,CUST0000672588,1,1.96
4,CUST0000622061,2,6.6
7,CUST0000822054,13,1554.2799999999993
5,CUST0000704298,1,12.2
2,CUST0000293146,5,42.14
2,CUST0000988934,3,10.899999999999999
2,CUST0000603487,3,26.369999999999997
6,CUST0000929636,7,4.08
5,CUST0000509127,1,0.86
2,CUST0000140459,4,197.12000000000003
4,CUST0000558729,2,7.46
7,CUST0000795333,13,890.64000000000044
7,CUST0000105820,13,1009.5899999999997
4,CUST0000774398,2,0.42
2,CUST0000035278,3,49.910000000000011
6,CUST0000740681,8,11.180000000000003
6,CUST0000962210,9,18.520000000000003
2,CUST0000441645,5,161.3
5,CUST0000928283,1,0.45
2,CUST0000035164,3,79.37
5,CUST0000414643,1,0.39
6,CUST0000692724,10,169.41
5,CUST0000318574,1,0.54
4,CUST0000729012,2,1.84
5,CUST0000762058,1,21.46
4,CUST0000882908,2,28.25
5,CUST0000853439,1,3.0
2,CUST0000502137,6,70.14
7,CUST0000097161,13,469.68000000000029
2,CUST0000522096,3,8.2
5,CUST0000102619,1,0.33
4,CUST0000036238,2,75.179999999999978
5,CUST0000889188,1,1.4
5,CUST0000747324,1,14.879999999999999
5,CUST0000104156,1,0.62
7,CUST0000404935,9,999.85000000000048
2,CUST0000235852,5,147.01999999999998
4,CUST0000828233,2,21.22
1,CUST0000472158,13,3600.8599999999965
4,CUST0000736242,2,0.85
4,CUST0000902434,2,49.820000000000007
6,CUST0000600303,7,29.200000000000006
2,CUST0000198819,3,30.080000000000005
5,CUST0000935831,1,22.59
7,CUST0000242095,13,398.96000000000032
2,CUST0000592982,5,132.02
7,CUST0000224455,13,2277.4799999999905
7,CUST0000458224,13,1719.0000000000045
5,CUST0000141065,1,6.83
4,CUST0000971863,2,38.339999999999996
5,CUST0000809685,1,16.03
4,CUST0000233371,2,23.360000000000003
1,CUST0000789571,13,2517.8800000000024
2,CUST0000684114,6,92.660000000000025
2,CUST0000024174,4,20.77
5,CUST0000476745,1,0.98
6,CUST0000709464,11,187.71999999999991
2,CUST0000472121,4,45.18
5,CUST0000746807,1,5.71
5,CUST0000335095,1,0.21
4,CUST0000479105,2,12.640000000000002
5,CUST0000626455,1,4.65
4,CUST0000438114,2,79.060000000000031
5,CUST0000724424,1,0.98
5,CUST0000003667,1,6.9799999999999995
5,CUST0000950751,1,3.3099999999999996
5,CUST0000279894,1,4.55
7,CUST0000206560,13,2382.8199999999961
5,CUST0000487922,1,12.7
4,CUST0000989857,2,5.4
1,CUST0000618211,10,3628.2500000000077
5,CUST0000087048,1,0.92
5,CUST0000997274,1,0.75
2,CUST0000383763,4,224.82
7,CUST0000625441,13,559.67000000000041
6,CUST0000543549,8,215.71999999999989
7,CUST0000616217,13,449.76999999999987
6,CUST0000472222,10,380.73999999999972
5,CUST0000076321,1,2.19
6,CUST0000758391,10,96.95999999999998
7,CUST0000622535,13,1340.3400000000024
5,CUST0000931557,1,1.86
5,CUST0000886714,1,25.3
5,CUST0000343114,1,1.6
5,CUST0000907877,1,0.41
1,CUST0000111873,13,2609.619999999999
5,CUST0000291269,1,19.410000000000004
4,CUST0000764003,3,4.25
1,CUST0000057847,11,2437.5299999999916
6,CUST0000158272,8,13.559999999999999
7,CUST0000687519,13,1220.2399999999968
4,CUST0000792393,2,21.540000000000003
5,CUST0000902020,1,1.99
3,CUST0000640774,1,71.519999999999982
4,CUST0000844335,2,14.200000000000003
2,CUST0000486650,6,81.149999999999991
5,CUST0000622071,1,0.68
2,CUST0000866973,4,24.700000000000003
5,CUST0000097566,1,9.3500000000000014
7,CUST0000937197,13,888.64000000000033
5,CUST0000343031,1,15.7
5,CUST0000562561,1,9.63
4,CUST0000577401,2,63.710000000000015
5,CUST0000793185,1,0.4
1,CUST0000997122,13,3961.739999999987
2,CUST0000926884,4,5.54
5,CUST0000482977,1,0.94000000000000006
5,CUST0000806500,1,10.370000000000001
5,CUST0000610009,1,0.57
4,CUST0000030075,2,3.62
6,CUST0000695999,8,130.62000000000012
5,CUST0000882824,1,1.66
2,CUST0000462196,3,27.270000000000003
5,CUST0000129634,1,1.78
4,CUST0000205245,2,3.92
5,CUST0000718240,1,25.13
7,CUST0000334222,13,435.05000000000013
4,CUST0000524112,2,79.219999999999985
4,CUST0000614385,2,1.96
5,CUST0000686905,1,0.34
7,CUST0000315942,13,1340.2199999999955
5,CUST0000443941,1,1.39
2,CUST0000628115,5,169.95000000000002
2,CUST0000867570,6,25.999999999999996
6,CUST0000552498,7,158.36
2,CUST0000589379,3,21.349999999999998
6,CUST0000420601,12,123.45000000000003
5,CUST0000928315,1,2.52
5,CUST0000334325,1,3.5
6,CUST0000524596,8,276.64000000000004
2,CUST0000741930,3,9.95
5,CUST0000857024,1,0.35
2,CUST0000999936,5,17.669999999999998
4,CUST0000136732,2,14.56
5,CUST0000575757,1,11.31
2,CUST0000921392,4,40.2
5,CUST0000228766,1,1.17
2,CUST0000832164,6,152.15000000000003
7,CUST0000740257,13,639.54000000000076
7,CUST0000077064,13,792.50999999999976
3,CUST0000271582,1,50.970000000000006
5,CUST0000579691,1,27.290000000000003
5,CUST0000661544,1,0.39
3,CUST0000759341,1,96.030000000000015
2,CUST0000591640,6,129.11000000000004
4,CUST0000514798,2,35.7
7,CUST0000297112,11,1059.7999999999997
5,CUST0000453862,1,0.8
7,CUST0000944007,13,1894.3800000000049
6,CUST0000054964,6,544.87999999999954
7,CUST0000212278,11,1176.6200000000006
7,CUST0000960829,11,905.30999999999938
2,CUST0000670206,5,69.37
4,CUST0000553992,2,6.1
6,CUST0000690971,11,448.0499999999995
5,CUST0000573088,1,7.38
5,CUST0000866790,1,0.44
5,CUST0000377834,1,22.579999999999995
4,CUST0000412921,2,88.86
5,CUST0000092742,1,1.08
4,CUST0000514065,2,27.47
4,CUST0000071969,3,3.02
4,CUST0000072417,2,4.38
6,CUST0000529214,8,130.51000000000005
2,CUST0000129621,3,6.8500000000000005
7,CUST0000467012,13,350.62999999999971
2,CUST0000950431,4,39.210000000000008
5,CUST0000138004,1,8.47
7,CUST0000579399,10,873.96999999999889
2,CUST0000647516,3,23.090000000000003
6,CUST0000031233,12,100.60000000000001
7,CUST0000905906,13,1087.7899999999995
7,CUST0000833037,10,713.4399999999988
5,CUST0000967183,1,1.5
5,CUST0000448976,1,0.56
5,CUST0000154857,1,3.7299999999999995
5,CUST0000424858,1,1.45
2,CUST0000248821,3,32.48
2,CUST0000661988,5,86.89
4,CUST0000016542,3,1.7999999999999998
5,CUST0000670948,1,1.36
6,CUST0000889750,11,403.37000000000029
5,CUST0000416981,1,7.51
5,CUST0000891738,1,1.7
3,CUST0000926034,1,61.469999999999985
5,CUST0000233291,1,7.08
6,CUST0000559109,7,41.42
2,CUST0000988308,6,119.68999999999998
7,CUST0000340397,13,1215.32
7,CUST0000370270,12,2380.7799999999993
6,CUST0000379344,7,188.80000000000004
5,CUST0000672155,1,0.81
2,CUST0000181512,4,28.529999999999998
2,CUST0000410280,4,11.62
2,CUST0000529999,4,14.180000000000003
4,CUST0000346869,2,134.62
7,CUST0000657746,12,417.72
5,CUST0000848227,1,0.98
2,CUST0000338285,5,139.43999999999997
5,CUST0000343746,1,4.24
5,CUST0000942094,1,9.71
5,CUST0000569046,1,8.38
7,CUST0000341493,12,2070.5400000000045
2,CUST0000281334,4,21.339999999999996
7,CUST0000498546,11,1012.149999999998
4,CUST0000343731,2,3.62
5,CUST0000448104,1,0.91
4,CUST0000258241,2,42.120000000000012
6,CUST0000297515,9,599.03000000000031
4,CUST0000933646,2,25.999999999999996
7,CUST0000923406,13,1271.099999999986
2,CUST0000364762,6,197.98999999999995
7,CUST0000914464,13,999.32999999999925
2,CUST0000857162,5,32.470000000000006
2,CUST0000060731,3,6.25
7,CUST0000236914,13,1867.2000000000005
4,CUST0000501508,2,18.82
4,CUST0000072406,2,71.40000000000002
7,CUST0000837778,13,1446.2299999999996
3,CUST0000825158,1,51.019999999999996
4,CUST0000522995,3,0.81
5,CUST0000848416,1,13.76
4,CUST0000904686,2,7.92
2,CUST0000036498,3,10.219999999999999
2,CUST0000247385,3,18.09
5,CUST0000478015,1,0.95
2,CUST0000757747,4,52.230000000000004
1,CUST0000298310,13,4075.8599999999988
7,CUST0000263501,12,1305.8899999999994
4,CUST0000571621,2,5.4799999999999995
