"Timestamp","จักรยานเสือภูเขา","คอลลาเจน","Brownie อวกาศ","แม่โขง","Botox","กัญชา","กัญชง","เครื่องวัดความดัน","หลอดไฟเปลี่ยนสีได้","คอร์ส bikini wax","เก้าอี้นวดไฟฟ้า","ต้นไม้ประดับห้อง","หมอนข้าง","ตาชั่ง ","คอร์สโบท็อกกราม","แสงโสม","กะหรี่(ปั๊บ)","Lego","แฟน ที่แปลว่าพัดลม","ยาดอง","ชุดนอนไม่ได้นอน","ที่ยกน้ำหนัก (Dumbell)","เครื่องดูดฝุ่นอัตโนมัติ (robot)","เนื้อวากิล","หมูแดดเดียว","drone","เครื่องย่อยเศษอาหาร","เสื้อซีทรู","ไพ่ยิปซี","เนื้อย่าง","เครื่องทำลายเอกสาร","กระเป๋า","ชาบู","Surfskate","Board game","เครื่องย่อยเศษอาหาร","ชุดน้องหมา","Omakase","เม็ดมะม่วงหิมพานต์","ไฟอัจฉริยะ","บัตตาเลี่ยนที่ตัดผม","ไดร์เป่าผม Dyson","แผ่นเสียง","กรรไกรตัดขนจมูก","PS5","เครื่องตรวจน้ำตาลในเลือด","โรตี","กะปิดอง","น้องหมา","แพ็คเกจไทยเที่ยวไทย","เกมส์ FIFA Online","มะม่วงเบา","ห้องน้ำแมวอัตโนมัติ","กระเป๋า chanel","ข้าวขาหมูคากิคาจักออนไลน์","ถั่งเช่า","หมอนสุขภาพสำหรับคนนอนไม่หลับ","อาหารแมวคลีนเพื่อสุขภาพลดหุ่น","น้ำส้มดีโด้","Software ถูกลิขสิทธิ์","ครีมกันแดด",""
"2021/03/20 11:29:58 AM GMT+7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","พริกทอด"
"2021/03/20 11:33:10 AM GMT+7","","","","","","","","","","","","","","","","","","","","","","","","","","","","กล้วยทอด","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/20 11:53:44 AM GMT+7","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย",""
"2021/03/20 11:54:00 AM GMT+7","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย",""
"2021/03/20 11:54:05 AM GMT+7","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","เคย","เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","เคย",""
"2021/03/20 11:54:12 AM GMT+7","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","เคย","ไม่เคย","เคย","เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย",""
"2021/03/20 11:54:18 AM GMT+7","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","เคย",""
"2021/03/20 11:54:20 AM GMT+7","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย",""
"2021/03/20 11:54:33 AM GMT+7","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","เคย","เคย","เคย",""
"2021/03/20 11:54:40 AM GMT+7","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","ไม่เคย","เคย",""
